,feature,importance
4,PC5_stock,0.2116687389554081
3,PC4_stock,0.19053632431510625
1,PC2_stock,0.15311278171139792
5,PC1_news,0.1530510446692167
2,PC3_stock,0.14640042390043415
0,PC1_stock,0.14523068644843692
