,feature,importance
4,PC5_stock,0.23604589408991064
3,PC4_stock,0.21858791042847708
2,PC3_stock,0.15629278020439186
1,PC2_stock,0.15230624746898058
0,PC1_stock,0.14733690038054523
5,PC1_news,0.0894302674276944
