,feature,importance
3,PC4_stock,0.23822983031896036
4,PC5_stock,0.232099229167244
1,PC2_stock,0.17221362694235384
0,PC1_stock,0.16836216730781198
2,PC3_stock,0.16541520776388893
5,PC1_news,0.023679938499740767
