,feature,importance
4,PC5_stock,0.2347272491985498
3,PC4_stock,0.22815539226711473
1,PC2_stock,0.1475288195339619
2,PC3_stock,0.14342145698182385
0,PC1_stock,0.14225831883227782
5,PC1_news,0.10390876318627197
