,PC1_news
0,-1.2724135264839622
1,-0.863410039829832
2,0.6931831017124511
3,1.9162142528167538
4,1.7211966061567063
5,-0.8328116795791242
6,1.8250964758362116
7,-1.0130240628430998
8,0.2671975263381001
9,-0.9223429055254645
10,2.238156904728801
11,3.5115028003366917
12,-0.997921629364159
13,0.2071074071399659
14,0.1878536150768073
15,-0.8954782181658375
16,-1.0446151667914971
17,-0.7153713059845981
18,-1.210306391284401
19,-0.28053522208968096
20,0.9721220888953724
21,-1.2494300368837261
22,0.8056384410043199
23,0.9347724861394654
24,1.7811382130081725
25,1.7902541077065803
26,0.90310267268048
27,-0.1455869914941859
28,-0.596548236738631
29,-1.7046898632388074
30,0.8027570190007428
31,-1.1648126969070682
32,-0.8067833777179784
33,-1.1591531673239643
34,-0.21732660622468258
35,0.25103639642763903
36,1.5164165482496033
37,-1.2820526221814317
38,0.9406060560162788
39,-1.2809585319490242
40,-1.1407085631210305
41,-1.2227739378045526
42,1.4115117089077955
43,-1.3162573811034406
44,2.0310436385284603
45,0.7952757267886424
46,-1.3632854500992975
47,-1.5808043193422257
48,-1.4467357326002637
49,0.22295386917592544
