,feature,importance
3,PC4_stock,0.2171716659448377
4,PC5_stock,0.20719029715798695
1,PC2_stock,0.18927592213679278
2,PC3_stock,0.1843227155060753
0,PC1_stock,0.17990890727324743
5,PC1_news,0.02213049198105996
